ProblemId,ProblemName,conv0,it0,conv1,it1,relation,isEffective,problem_id,id,size,split,path,rows,cols,nonzeros,posdef,nsym,psym,density,avg_nnz,max_nnz,std_nnz,avg_row_block_count,std_row_block_count,min_row_block_count,max_row_block_count,avg_row_block_size,std_row_block_size,min_row_block_size,max_row_block_size,block_count
1632-1360-582,Bai/rdb2048_noL,1,95,1,135,0.703703703703704,0,1632-1360-582,1632,1360,582,/home/anna/.ssgetpy/MM/Bai/rdb2048_noL/rdb2048_noL.mtx,1360,1360,7942,False,0.7936797326040718,1.0,0.004293901384083045,5.839705882352941,6,0.3976547815122001,3.873529411764706,0.3453973189798634,2,4,1.5075930144267273,0.8657728890480338,1,3,5268
1625-1256-1448,Bai/mhd4800b,1,42,1,52,0.807692307692308,0,1625-1256-1448,1625,1256,1448,/home/anna/.ssgetpy/MM/Bai/mhd4800b/mhd4800b.mtx,1256,1256,7166,True,1.0,1.0,0.004542527080206094,5.705414012738854,10,1.9567381510183668,2.914808917197452,0.5698673958366816,1,4,1.957388691614313,0.8978642654930308,1,4,3661
1542-635-2030,Schenk_IBMNA/c-23,1,31,1,51,0.607843137254902,0,1542-635-2030,1542,635,2030,/home/anna/.ssgetpy/MM/Schenk_IBMNA/c-23/c-23.mtx,635,635,635,False,1.0,1.0,0.0015748031496062992,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,635
359-154-293,Boeing/msc01440,1,6,1,51,0.117647058823529,0,359-154-293,359,154,293,/home/anna/.ssgetpy/MM/Boeing/msc01440/msc01440.mtx,154,154,426,True,1.0,1.0,0.017962556923595885,2.7662337662337664,4,1.0738461508721622,1.5844155844155845,0.4928224924937734,1,2,1.7459016393442623,0.7078190401535339,1,3,244
1612-1039-6907,Bai/cryg10000,0,1050,1,69,15.2173913043478,1,1612-1039-6907,1612,1039,6907,/home/anna/.ssgetpy/MM/Bai/cryg10000/cryg10000.mtx,1039,1039,4973,False,0.0,1.0,0.004606672774313793,4.7863330125120305,5,0.42374871426002797,2.807507218479307,0.39425792393193543,2,3,1.7048337332876242,0.9514908721551301,1,3,2917
161-103-4,HB/gre_115,1,82,0,53,1.54716981132075,0,161-103-4,161,103,4,/home/anna/.ssgetpy/MM/HB/gre_115/gre_115.mtx,103,103,347,False,0.0,0.26229508196721313,0.03270807804694128,3.3689320388349513,5,0.788143834664171,3.1067961165048543,0.8466108487996753,2,5,1.084375,0.27794938275700487,1,2,320
221-324-122,HB/nos5,1,220,1,72,3.05555555555556,1,221-324-122,221,324,122,/home/anna/.ssgetpy/MM/HB/nos5/nos5.mtx,324,324,3482,True,1.0,1.0,0.03316948635878677,10.746913580246913,23,2.7438184810094777,8.12037037037037,2.069998475841536,3,14,1.3234511592550362,0.6512109188008711,1,8,2631
984-808-322,Sandia/adder_dcop_01,1,44,0,0,0.0,0,984-808-322,984,808,322,/home/anna/.ssgetpy/MM/Sandia/adder_dcop_01/adder_dcop_01.mtx,808,808,2072,False,0.029874213836477988,0.5754716981132075,0.0031737084599549065,2.5643564356435644,7,1.4656936188939742,2.2144638403990027,1.254971271417798,1,7,1.1666666666666667,0.40732777454516395,1,5,1776
2665-318-226,VDOL/dynamicSoaringProblem_1,0,350,1,144,2.43055555555556,1,2665-318-226,2665,318,226,/home/anna/.ssgetpy/MM/VDOL/dynamicSoaringProblem_1/dynamicSoaringProblem_1.mtx,318,318,940,False,1.0,1.0,0.009295518373482062,2.9559748427672954,181,11.456148777158868,1.7767295597484276,0.8851461144032675,1,4,1.663716814159292,8.072251848282898,1,180,565
440-707-1564,FIDAP/ex9,1,501,1,91,5.50549450549451,1,440-707-1564,440,707,1564,/home/anna/.ssgetpy/MM/FIDAP/ex9/ex9.mtx,707,707,19853,True,1.0,1.0,0.03971799483444,28.08062234794908,50,11.368857716568778,4.841584158415841,1.4596202959692424,1,7,5.799883143441425,5.305284847512975,1,18,3423
2564-1835-451,CPM/cz5108,1,311,1,173,1.79768786127168,1,2564-1835-451,2564,1835,451,/home/anna/.ssgetpy/MM/CPM/cz5108/cz5108.mtx,1835,1835,18020,False,0.25801668211306766,0.4156935434043868,0.005351587731737558,9.82016348773842,27,7.470145994033975,3.5155313351498636,0.8999870895072267,1,6,2.7933653697101226,1.5902331356748003,1,6,6451
41-321-450,HB/bcsstk19,0,350,1,61,5.73770491803279,1,41-321-450,41,321,450,/home/anna/.ssgetpy/MM/HB/bcsstk19/bcsstk19.mtx,321,321,2615,True,1.0,1.0,0.025378247493716092,8.146417445482866,11,1.917389174450512,1.7476635514018692,1.18474302544267,1,6,4.661319073083779,3.714319408724615,1,9,561
386-1010-73,DRIVCAV/cavity07,0,1050,1,478,2.19665271966527,1,386-1010-73,386,1010,73,/home/anna/.ssgetpy/MM/DRIVCAV/cavity07/cavity07.mtx,1010,1010,28295,False,0.0,0.9351969504447268,0.027737476717968827,28.014851485148515,62,14.551063287599485,6.217821782178218,2.0049639407934428,2,14,4.505573248407643,5.031426791985152,1,22,6280
239-222-1,HB/saylr1,1,149,1,66,2.25757575757576,1,239-222-1,239,222,1,/home/anna/.ssgetpy/MM/HB/saylr1/saylr1.mtx,222,222,1050,False,0.6763285024154589,1.0,0.02130508887265644,4.72972972972973,5,0.492208590257576,2.873873873873874,0.3319914553637528,2,3,1.64576802507837,0.907944364006523,1,3,638
417-889-423,FIDAP/ex20,1,407,0,52,7.82692307692308,0,417-889-423,417,889,423,/home/anna/.ssgetpy/MM/FIDAP/ex20/ex20.mtx,889,889,26554,False,0.9700829955607025,0.9767998455896545,0.03359900597352215,29.869516310461194,67,15.269637410566888,4.427446569178852,1.7567386901081432,2,11,6.746443089430894,4.236916440717586,1,17,3936
785-499-3374,Nemeth/nemeth21,1,40,1,52,0.769230769230769,0,785-499-3374,785,499,3374,/home/anna/.ssgetpy/MM/Nemeth/nemeth21/nemeth21.mtx,499,499,57993,False,1.0,1.0,0.2329026791057064,116.21843687374749,141,20.258014588593483,8.11623246492986,2.868968280070771,2,15,14.31925925925926,29.190266421742212,1,122,4050
1389-1551-5031,Andrianov/net25,1,1,1,51,0.0196078431372549,0,1389-1551-5031,1389,1551,5031,/home/anna/.ssgetpy/MM/Andrianov/net25/net25.mtx,1551,1551,1551,False,1.0,1.0,0.0006447453255963894,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,1551
322-425-2446,Bai/olm5000,0,450,1,54,8.33333333333333,1,322-425-2446,322,425,2446,/home/anna/.ssgetpy/MM/Bai/olm5000/olm5000.mtx,425,425,1694,False,0.3325453112687155,0.6666666666666666,0.009378546712802768,3.9858823529411764,6,1.998773326240017,1.0,0.0,1,1,3.9858823529411764,1.998773326240017,1,6,425
1612-473-4176,Bai/cryg10000,0,500,1,64,7.8125,1,1612-473-4176,1612,473,4176,/home/anna/.ssgetpy/MM/Bai/cryg10000/cryg10000.mtx,473,473,2153,False,0.0,1.0,0.009623249556382945,4.5517970401691334,5,0.5221944517974776,2.5771670190274842,0.4940093634481152,2,3,1.7662018047579984,0.9672095271269187,1,3,1219
1103-142-250,Sandia/fpga_dcop_49,1,3,1,51,0.0588235294117647,0,1103-142-250,1103,142,250,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_49/fpga_dcop_49.mtx,142,142,284,False,0.0,1.0,0.014084507042253521,2.0,2,0.0,1.0,0.0,1,1,2.0,0.0,2,2,142
1087-408-657,Sandia/fpga_dcop_33,1,3,1,51,0.0588235294117647,0,1087-408-657,1087,408,657,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_33/fpga_dcop_33.mtx,408,408,814,False,0.0,1.0,0.004889946174548251,1.9950980392156863,2,0.06984219043517159,1.0,0.0,1,1,1.9950980392156863,0.06984219043517159,1,2,408
192-121-1,HB/lnsp_131,1,35,0,0,0.0,0,192-121-1,192,121,1,/home/anna/.ssgetpy/MM/HB/lnsp_131/lnsp_131.mtx,121,121,500,False,0.020100502512562814,0.7085427135678392,0.03415067276825354,4.132231404958677,11,3.420748912154393,3.7851239669421486,3.083431091930187,1,11,1.091703056768559,0.35013556830394926,1,3,458
1081-1107-67,Sandia/fpga_dcop_27,1,399,0,0,0.0,0,1081-1107-67,1081,1107,67,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_27/fpga_dcop_27.mtx,1107,1107,5198,False,0.27180232558139533,0.8386627906976745,0.004241710589343172,4.695573622402891,36,4.096738500196084,3.251606978879706,0.9568561199738761,1,8,1.4679469076532052,1.8117888743359827,1,24,3541
1448-718-3346,Oberwolfach/t2dal_bci,0,750,1,76,9.86842105263158,1,1448-718-3346,1448,718,3346,/home/anna/.ssgetpy/MM/Oberwolfach/t2dal_bci/t2dal_bci.mtx,718,718,6104,False,1.0,1.0,0.011840379885320567,8.501392757660167,9,1.1414564605417288,2.883008356545961,0.3214103277991577,2,3,2.948792270531401,0.22476179626668824,1,3,2070
93-101-23,HB/can_144,1,82,0,0,0.0,0,93-101-23,93,101,23,/home/anna/.ssgetpy/MM/HB/can_144/can_144.mtx,101,101,651,False,1.0,1.0,0.06381727281639055,6.445544554455446,15,3.1512224487145026,2.2475247524752477,1.0754316710466942,1,4,2.86784140969163,1.761101030118726,1,9,227
1939-1737-1330,JGD_BIBD/bibd_81_2,1,1,1,51,0.0196078431372549,0,1939-1737-1330,1939,1737,1330,/home/anna/.ssgetpy/MM/JGD_BIBD/bibd_81_2/bibd_81_2.mtx,1737,1737,1737,True,1.0,1.0,0.0005757052389176742,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,1737
240-494-365,HB/saylr3,1,230,1,74,3.10810810810811,1,240-494-365,240,494,365,/home/anna/.ssgetpy/MM/HB/saylr3/saylr3.mtx,494,494,1812,False,1.0,1.0,0.007425133996623449,3.668016194331984,7,1.941218499524368,2.720647773279352,1.361299534450461,1,5,1.3482142857142858,0.7304168097643937,1,3,1344
1365-448-1718,PARSEC/SiH4,1,24,1,59,0.406779661016949,0,1365-448-1718,1365,448,1718,/home/anna/.ssgetpy/MM/PARSEC/SiH4/SiH4.mtx,448,448,9994,False,1.0,1.0,0.049794722576530615,22.308035714285715,58,10.978824084775143,10.066964285714286,2.8014628956792107,3,17,2.2159645232815963,3.0238391536460365,1,13,4510
1056-327-737,Sandia/fpga_dcop_02,1,3,1,51,0.0588235294117647,0,1056-327-737,1056,327,737,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_02/fpga_dcop_02.mtx,327,327,653,False,0.0,1.0,0.006106855951145153,1.996941896024465,2,0.05521550484791371,1.0,0.0,1,1,1.996941896024465,0.05521550484791371,1,2,327
1067-752-304,Sandia/fpga_dcop_13,1,8,1,51,0.156862745098039,0,1067-752-304,1067,752,304,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_13/fpga_dcop_13.mtx,752,752,1504,False,-0.0026595744680851063,0.9973404255319149,0.0026595744680851063,2.0,2,0.0,1.0,0.0,1,1,2.0,0.0,2,2,752
935-1707-3291,Lucifora/cell2,1,124,1,79,1.56962025316456,1,935-1707-3291,935,1707,3291,/home/anna/.ssgetpy/MM/Lucifora/cell2/cell2.mtx,1707,1707,7187,False,0.004379562043795621,0.8226277372262774,0.002466497062819659,4.2103104862331575,5,0.6886384584420182,2.889865260691271,0.3149233631679078,1,3,1.4569227650516927,0.49814089555988905,1,2,4933
815-470-758,Simon/raefsky2,1,55,1,60,0.916666666666667,0,815-470-758,815,470,758,/home/anna/.ssgetpy/MM/Simon/raefsky2/raefsky2.mtx,470,470,23502,False,0.09551927752691906,0.99574505036471,0.10639203259393391,50.00425531914894,60,9.048567711905559,5.285106382978723,1.2781267415268591,2,9,9.46135265700483,4.41457155006475,1,36,2484
1114-124-145,Sandia/oscil_dcop_03,1,46,1,57,0.807017543859649,0,1114-124-145,1114,124,145,/home/anna/.ssgetpy/MM/Sandia/oscil_dcop_03/oscil_dcop_03.mtx,124,124,264,False,0.9571428571428572,1.0,0.01716961498439126,2.129032258064516,9,1.2634294211332995,1.9274193548387097,1.056266913182201,1,8,1.104602510460251,0.34462360304559,1,3,239
770-754-4083,Nemeth/nemeth06,1,5,1,52,0.0961538461538462,0,770-754-4083,770,754,4083,/home/anna/.ssgetpy/MM/Nemeth/nemeth06/nemeth06.mtx,754,754,30730,False,1.0,1.0,0.05405300818270726,40.755968169761275,51,7.197396573160852,6.125994694960212,1.5676734793645297,2,9,6.652955185105001,9.268325582078745,1,45,4619
1001-602-492,Sandia/adder_dcop_18,0,650,1,54,12.037037037037,1,1001-602-492,1001,602,492,/home/anna/.ssgetpy/MM/Sandia/adder_dcop_18/adder_dcop_18.mtx,602,602,1343,False,0.0,0.5452091767881242,0.0037058089866557763,2.2308970099667773,7,1.2014009787128481,1.9169435215946844,1.0114355904459862,1,6,1.1637781629116117,0.41842935584353275,1,5,1154
2297-725-3085,SNAP/ca-GrQc,1,77,0,0,0.0,0,2297-725-3085,2297,725,3085,/home/anna/.ssgetpy/MM/SNAP/ca-GrQc/ca-GrQc.mtx,725,725,494,False,1.0,1.0,0.000939833531510107,0.6813793103448276,7,1.1802910645612679,1.6632302405498283,1.1044996434826073,1,6,1.0206611570247934,0.14224722709139262,1,2,484
1546-1007-470,Schenk_IBMNA/c-27,1,26,1,51,0.509803921568627,0,1546-1007-470,1546,1007,470,/home/anna/.ssgetpy/MM/Schenk_IBMNA/c-27/c-27.mtx,1007,1007,1007,False,1.0,1.0,0.0009930486593843098,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,1007
1626-128-2,Bai/qh1484,1,12,1,51,0.235294117647059,0,1626-128-2,1626,128,2,/home/anna/.ssgetpy/MM/Bai/qh1484/qh1484.mtx,128,128,254,False,0.0,1.0,0.0155029296875,1.984375,2,0.12401959270615269,1.0,0.0,1,1,1.984375,0.12401959270615269,1,2,128
1179-581-602,HB/lock2232,1,531,0,0,0.0,0,1179-581-602,1179,581,602,/home/anna/.ssgetpy/MM/HB/lock2232/lock2232.mtx,581,581,19549,False,1.0,1.0,0.05791249581557111,33.647160068846816,48,12.385285521235929,4.0843373493975905,1.1725984135157055,1,7,8.238095238095237,3.882843729527276,5,24,2373
1094-156-43,Sandia/fpga_dcop_40,1,4,1,51,0.0784313725490196,0,1094-156-43,1094,156,43,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_40/fpga_dcop_40.mtx,156,156,172,False,1.0,1.0,0.007067718606180145,1.1025641025641026,2,0.30338870682562136,1.1025641025641026,0.30338870682562136,1,2,1.0,0.0,1,1,172
167-278-143,HB/hor_131,0,300,1,73,4.10958904109589,1,167-278-143,167,278,143,/home/anna/.ssgetpy/MM/HB/hor_131/hor_131.mtx,278,278,2131,False,0.5688073394495413,0.9390178089584458,0.027573624553594533,7.66546762589928,17,2.394454391231065,5.66546762589928,2.1921118305708984,1,11,1.353015873015873,0.9957762146131617,1,9,1575
1331-1683-682,MathWorks/Muu,1,29,1,53,0.547169811320755,0,1331-1683-682,1331,1683,682,/home/anna/.ssgetpy/MM/MathWorks/Muu/Muu.mtx,1683,1683,36401,True,1.0,1.0,0.01285124143465341,21.628639334521687,49,9.622305846643178,21.628639334521687,9.622305846643178,6,49,1.0,0.0,1,1,36401
191-603-3050,HB/lnsp3937,0,650,1,197,3.2994923857868,1,191-603-3050,191,603,3050,/home/anna/.ssgetpy/MM/HB/lnsp3937/lnsp3937.mtx,603,603,3842,False,0.0,0.8609785202863962,0.010566295113707307,6.371475953565506,11,2.824551619533943,5.641791044776119,2.628655352957019,1,11,1.1293356848912404,0.4182394649521503,1,3,3402
1094-672-107,Sandia/fpga_dcop_40,1,65,1,79,0.822784810126582,0,1094-672-107,1094,672,107,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_40/fpga_dcop_40.mtx,672,672,1669,False,0.21664994984954863,0.7683049147442327,0.0036958793934240364,2.4836309523809526,5,0.8053207920385326,1.6413690476190477,0.7545200505360993,1,5,1.513145965548504,0.49982715371395897,1,2,1103
192-118-1,HB/lnsp_131,1,36,0,0,0.0,0,192-118-1,192,118,1,/home/anna/.ssgetpy/MM/HB/lnsp_131/lnsp_131.mtx,118,118,494,False,0.02030456852791878,0.7106598984771574,0.0354783108302212,4.186440677966102,11,3.4270834379321276,3.830508474576271,3.087166120685417,1,11,1.092920353982301,0.35229131503297423,1,3,452
320-880-67,Bai/olm2000,1,247,1,63,3.92063492063492,1,320-880-67,320,880,67,/home/anna/.ssgetpy/MM/Bai/olm2000/olm2000.mtx,880,880,3516,False,0.3330804248861912,0.6669195751138088,0.004540289256198347,3.9954545454545456,6,1.997720808759839,1.0,0.0,1,1,3.9954545454545456,1.997720808759839,2,6,880
2818-868-573,Goodwin/Goodwin_013,1,135,0,51,2.64705882352941,0,2818-868-573,2818,868,573,/home/anna/.ssgetpy/MM/Goodwin/Goodwin_013/Goodwin_013.mtx,868,868,24255,False,0.06003895334067237,0.9592683546447625,0.032193028095733614,27.943548387096776,62,15.848222867378862,9.488479262672811,4.278453787501034,1,20,2.944997571636717,4.8940211402603415,1,26,8236
1539-263-2245,Schenk_IBMNA/c-20,1,1,1,51,0.0196078431372549,0,1539-263-2245,1539,263,2245,/home/anna/.ssgetpy/MM/Schenk_IBMNA/c-20/c-20.mtx,263,263,263,False,1.0,1.0,0.0038022813688212928,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,263
1609-1182-2129,Cylshell/s2rmt3m1,0,1200,1,70,17.1428571428571,1,1609-1182-2129,1609,1182,2129,/home/anna/.ssgetpy/MM/Cylshell/s2rmt3m1/s2rmt3m1.mtx,1182,1182,43570,True,1.0,1.0,0.03118549248312963,36.86125211505922,42,6.64123185337981,2.9035532994923856,0.7788474043791018,2,8,12.695221445221446,4.276405752858728,1,18,3432
2299-698-7025,SNAP/ca-HepTh,1,33,0,0,0.0,0,2299-698-7025,2299,698,7025,/home/anna/.ssgetpy/MM/SNAP/ca-HepTh/ca-HepTh.mtx,698,698,255,False,1.0,1.0,0.0005233947176131559,0.3653295128939828,4,0.7012927629960165,1.3333333333333333,0.6823550876255454,1,4,1.0119047619047619,0.10845754260886069,1,2,252
359-948-395,Boeing/msc01440,1,606,1,72,8.41666666666667,1,359-948-395,359,948,395,/home/anna/.ssgetpy/MM/Boeing/msc01440/msc01440.mtx,948,948,20888,True,1.0,1.0,0.0232423578842422,22.033755274261605,42,8.824646622251786,6.918776371308017,3.012412048647079,1,16,3.184631803628602,2.388779575178574,1,21,6559
62-346-26,HB/bcsstm07,1,216,1,58,3.72413793103448,1,62-346-26,62,346,26,/home/anna/.ssgetpy/MM/HB/bcsstm07/bcsstm07.mtx,346,346,5718,True,1.0,1.0,0.047763039192756186,16.526011560693643,26,5.464617110257229,6.257225433526012,2.2425901986075627,1,10,2.641108545034642,2.2417558834257276,1,10,2165
1096-601-485,Sandia/fpga_dcop_42,1,3,1,51,0.0588235294117647,0,1096-601-485,1096,601,485,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_42/fpga_dcop_42.mtx,601,601,1201,False,0.0033333333333333335,1.0,0.003325018480015282,1.9983361064891847,2,0.04075690087825587,1.0,0.0,1,1,1.9983361064891847,0.04075690087825587,1,2,601
1054-383-855,Sandia/adder_trans_02,1,30,1,54,0.555555555555556,0,1054-383-855,1054,383,855,/home/anna/.ssgetpy/MM/Sandia/adder_trans_02/adder_trans_02.mtx,383,383,981,False,0.04013377926421405,1.0,0.006687618021801226,2.5613577023498695,8,1.3288406517687341,1.8825065274151436,0.9582850131388255,1,6,1.360610263522885,0.598473939407441,1,5,721
251-157-50,HB/steam1,0,200,1,53,3.77358490566038,1,251-157-50,251,157,50,/home/anna/.ssgetpy/MM/HB/steam1/steam1.mtx,157,157,982,False,0.22787878787878788,0.6763636363636364,0.03983934439531015,6.254777070063694,16,3.080459181998407,3.694267515923567,2.3038666483828383,1,10,1.693103448275862,0.9389763444865642,1,4,580
2208-261-17,JGD_Trefethen/Trefethen_300,1,32,1,52,0.615384615384615,0,2208-261-17,2208,261,17,/home/anna/.ssgetpy/MM/JGD_Trefethen/Trefethen_300/Trefethen_300.mtx,261,261,3937,True,1.0,1.0,0.057794219110112885,15.084291187739463,17,1.2717767368789246,11.10727969348659,1.1986521302840074,8,13,1.3580545015522594,1.1398182875621787,1,5,2899
244-1957-666,HB/sherman3,1,289,1,67,4.3134328358209,1,244-1957-666,244,1957,666,/home/anna/.ssgetpy/MM/HB/sherman3/sherman3.mtx,1957,1957,6669,False,0.14388794567062818,1.0,0.0017413219163470936,3.407766990291262,7,2.5509225581490655,2.590189064895248,1.6972326554685886,1,5,1.3156441112645492,0.7132831271566932,1,3,5069
758-1822-24,Nasa/nasa2146,1,138,1,58,2.37931034482759,1,758-1822-24,758,1822,24,/home/anna/.ssgetpy/MM/Nasa/nasa2146/nasa2146.mtx,1822,1822,61116,True,1.0,1.0,0.018410186029754638,33.543358946212955,36,5.071934499055105,2.92371020856202,0.26546121969193487,2,3,11.47287403792003,1.404879686734511,2,12,5327
890-1971-447,Norris/heart1,0,2000,1,98,20.4081632653061,1,890-1971-447,890,1971,447,/home/anna/.ssgetpy/MM/Norris/heart1/heart1.mtx,1971,1971,515754,False,0.0,1.0,0.1327606458024923,261.67123287671234,579,104.3826065172275,13.059360730593607,9.123151308585804,1,47,20.037062937062938,39.988103632061645,1,513,25740
251-132-57,HB/steam1,0,150,1,52,2.88461538461538,1,251-132-57,251,132,57,/home/anna/.ssgetpy/MM/HB/steam1/steam1.mtx,132,132,599,False,0.16274089935760172,0.7623126338329764,0.03437786960514233,4.537878787878788,11,1.982519452425881,2.3257575757575757,1.4590169590121398,1,6,1.9511400651465798,0.9856744263925565,1,4,307
2351-423-8435,Rommes/bips98_1142,0,450,1,54,8.33333333333333,1,2351-423-8435,2351,423,8435,/home/anna/.ssgetpy/MM/Rommes/bips98_1142/bips98_1142.mtx,423,423,923,False,0.516,1.0,0.005158470678313745,2.182033096926714,6,0.8150236062900453,1.0803782505910164,0.3046803521295256,1,3,2.0196936542669586,0.6595913414093143,1,6,457
790-769-4612,Nemeth/nemeth26,1,19,1,52,0.365384615384615,0,790-769-4612,790,769,4612,/home/anna/.ssgetpy/MM/Nemeth/nemeth26/nemeth26.mtx,769,769,114637,False,1.0,1.0,0.1938528242477945,149.07282184655398,189,30.1514150732407,12.981794538361509,4.038138262713006,1,20,11.483221476510067,27.409298647881496,1,132,9983
